date,reserves_usd_b,inflation_yoy,policy_rate,real_policy_rate,reserves_usd_m
2021-01-01,8.5,9.9,14.5,4.6,8500.0
2021-04-01,9.0,8.5,14.5,6.0,9000.0
2021-07-01,9.8,9.0,13.5,4.5,9800.0
2021-10-01,9.5,11.0,13.5,2.5,9500.0
2022-01-01,9.0,15.7,17.0,1.3000000000000007,9000.0
2022-04-01,8.0,23.6,19.0,-4.600000000000001,8000.0
2022-07-01,7.0,31.7,22.0,-9.7,7000.0
2022-10-01,6.2,40.4,27.0,-13.399999999999999,6200.0
2023-01-01,5.1,53.6,29.5,-24.1,5100.0
2023-04-01,5.5,41.2,29.5,-11.700000000000003,5500.0
2023-07-01,5.2,43.1,30.0,-13.100000000000001,5200.0
2023-10-01,5.8,35.2,30.0,-5.200000000000003,5800.0
2024-01-01,6.0,23.5,29.0,5.5,6000.0
2024-04-01,6.5,25.0,29.0,4.0,6500.0
