forecast_origin,forecast_date,horizon,actual,forecast,error,threshold,current_regime
2015-12-01,2016-01-01,1,6294.321468539339,6884.348362204753,-590.0268936654147,0.23470403902903225,1
2015-12-01,2016-02-01,2,6573.369087438172,7090.4635974311705,-517.0945099929986,0.23470403902903225,1
2015-12-01,2016-03-01,3,6221.186356293166,7137.447806571135,-916.2614502779688,0.23470403902903225,1
2015-12-01,2016-04-01,4,6068.525257617199,7220.514770265196,-1151.989512647997,0.23470403902903225,1
2015-12-01,2016-05-01,5,5645.141094794298,7276.04514234903,-1630.9040475547326,0.23470403902903225,1
2015-12-01,2016-06-01,6,5292.27,7333.621380331692,-2041.3513803316919,0.23470403902903225,1
2015-12-01,2016-07-01,7,6489.187703676498,7290.9872404441885,-801.7995367676904,0.23470403902903225,1
2015-12-01,2016-08-01,8,6598.941049091874,7282.093049193275,-683.1520001014005,0.23470403902903225,1
2015-12-01,2016-09-01,9,6455.718499925342,7207.5696281643195,-751.8511282389773,0.23470403902903225,1
2015-12-01,2016-10-01,10,6053.842609846051,7155.29308214199,-1101.450472295939,0.23470403902903225,1
2015-12-01,2016-11-01,11,5644.133101910387,7115.238529490407,-1471.1054275800198,0.23470403902903225,1
2015-12-01,2016-12-01,12,6019.035611001512,7078.018517741108,-1058.9829067395958,0.23470403902903225,1
2016-03-01,2016-04-01,1,6068.525257617199,6299.157156759082,-230.63189914188297,0.280327017550297,0
2016-03-01,2016-05-01,2,5645.141094794298,6265.497106333281,-620.3560115389837,0.280327017550297,0
2016-03-01,2016-06-01,3,5292.27,6199.040069966349,-906.7700699663483,0.280327017550297,0
2016-03-01,2016-07-01,4,6489.187703676498,6160.100619762861,329.0870839136369,0.280327017550297,0
2016-03-01,2016-08-01,5,6598.941049091874,6144.2594690203905,454.68158007148395,0.280327017550297,0
2016-03-01,2016-09-01,6,6455.718499925342,6138.824397640769,316.8941022845729,0.280327017550297,0
2016-03-01,2016-10-01,7,6053.842609846051,6138.189406541149,-84.34679669509751,0.280327017550297,0
2016-03-01,2016-11-01,8,5644.133101910387,6144.010019423537,-499.87691751315015,0.280327017550297,0
2016-03-01,2016-12-01,9,6019.035611001512,6156.357660448437,-137.32204944692512,0.280327017550297,0
