date,EQUITY_S&P_SL20_Index,Gold_Price
2013-03-07,3220.41,
2013-03-08,3222.74,
2013-03-11,3229.19,
2013-03-12,3247.09,
2013-03-13,3235.24,
2013-03-14,3241.03,
2013-03-15,3262.44,
2013-03-18,3270.21,
2013-03-19,3283.79,
2013-03-20,3299.56,
2013-03-21,3313.28,
2013-03-22,3312.71,
2013-03-25,3295.96,
2013-03-27,3299.87,
2013-03-28,3293.57,
2013-04-01,3281.63,
2013-04-02,3289.37,
2013-04-03,3305.27,
2013-04-04,3319.01,
2013-04-05,3312.53,
2013-04-08,3321.81,
2013-04-09,3316.75,
2013-04-10,3322.49,
2013-04-11,3329.42,
2013-04-12,3333.54,
2013-04-16,3351.57,
2013-04-17,3361.99,
2013-04-18,3351.15,
2013-04-19,3336.12,
2013-04-22,3338.38,
2013-04-23,3344.85,
2013-04-24,3358.51,
2013-04-26,3359.36,
2013-04-29,3363.14,
2013-04-30,3365.79,
2013-05-02,3381.38,
2013-05-03,3405.99,
2013-05-06,3461.12,
2013-05-07,3511.95,
2013-05-08,3521.3,
2013-05-09,3526.51,
2013-05-10,3530.9,
2013-05-13,3518.85,
2013-05-14,3500.5,
2013-05-15,3498.34,
2013-05-16,3531.37,
2013-05-17,3589.26,
2013-05-20,3649.35,
2013-05-21,3660.94,
2013-05-22,3663.98,
2013-05-23,3666.04,
2013-05-27,3641.91,
2013-05-28,3626.96,
2013-05-29,3644.64,
2013-05-30,3640.04,
2013-05-31,3646.32,
2013-06-03,3635.59,
2013-06-04,3645.9,
2013-06-05,3635.05,
2013-06-06,3596.34,
2013-06-07,3550.47,
2013-06-10,3574.45,
2013-06-11,3560.47,
2013-06-12,3551.41,
2013-06-13,3499.09,
2013-06-14,3504.35,
2013-06-17,3496.79,
2013-06-18,3497.12,
2013-06-19,3495.68,
2013-06-20,3492.14,
2013-06-21,3466.57,
2013-06-24,3472.3,
2013-06-25,3430.43,
2013-06-26,3413.63,
2013-06-27,3426.48,
2013-06-28,3431.74,
2013-07-01,3447.74,
2013-07-02,3462.51,
2013-07-03,3433.0,
2013-07-04,3399.46,
2013-07-05,3383.46,
2013-07-08,3351.49,
2013-07-09,3347.96,
2013-07-10,3365.08,
2013-07-11,3392.9,
2013-07-12,3385.43,
2013-07-15,3397.44,
2013-07-16,3386.42,
2013-07-17,3376.73,
2013-07-18,3378.73,
2013-07-19,3409.16,
2013-07-23,3436.09,
2013-07-24,3448.11,
2013-07-25,3423.48,
2013-07-26,3427.87,
2013-07-29,3425.77,
2013-07-30,3432.03,
2013-07-31,3428.96,
2013-08-01,3477.57,
2013-08-02,3490.57,
2013-08-05,3471.47,
2013-08-06,3477.04,
2013-08-07,3479.87,
2013-08-08,3470.16,
2013-08-12,3451.45,
2013-08-13,3453.23,
2013-08-14,3484.1,
2013-08-15,3495.69,
2013-08-16,3491.55,
2013-08-19,3494.18,
2013-08-21,3434.37,
2013-08-22,3422.27,
2013-08-23,3342.96,
2013-08-26,3327.63,
2013-08-27,3319.33,
2013-08-28,3209.93,
2013-08-29,3264.96,
2013-08-30,3261.33,
2013-09-02,3229.09,
2013-09-03,3210.89,
2013-09-04,3210.96,
2013-09-05,3178.12,
2013-09-06,3177.17,
2013-09-09,3132.1,
2013-09-10,3150.69,
2013-09-11,3178.96,
2013-09-12,3184.9,
2013-09-13,3176.74,
2013-09-16,3180.24,
2013-09-17,3161.9,
2013-09-18,3157.38,
2013-09-20,3217.6,
2013-09-23,3206.23,
2013-09-24,3214.3,
2013-09-25,3205.48,
2013-09-26,3219.09,
2013-09-27,3210.3,
2013-09-30,3214.37,
2013-10-01,3210.89,
2013-10-02,3222.89,
2013-10-03,3220.71,
2013-10-04,3231.79,
2013-10-07,3244.38,
2013-10-08,3257.34,
2013-10-09,3254.99,
2013-10-10,3286.91,
2013-10-11,3283.62,
2013-10-14,3288.74,
2013-10-15,3290.58,
2013-10-17,3309.0,
2013-10-21,3287.53,
2013-10-22,3272.58,
2013-10-23,3259.18,
2013-10-24,3263.76,
2013-10-25,3280.48,
2013-10-28,3261.76,
2013-10-29,3260.62,
2013-10-30,3265.82,
2013-10-31,3282.07,
2013-11-01,3280.33,
2013-11-04,3274.31,
2013-11-05,3263.51,
2013-11-06,3254.89,
2013-11-07,3243.71,
2013-11-08,3232.5,
2013-11-11,3230.36,
2013-11-12,3190.66,
2013-11-13,3178.28,
2013-11-14,3185.96,
2013-11-15,3174.68,
2013-11-18,3200.31,
2013-11-19,3213.93,
2013-11-20,3209.27,
2013-11-21,3202.19,
2013-11-22,3197.88,
2013-11-25,3182.94,
2013-11-26,3168.69,
2013-11-27,3162.52,
2013-11-28,3163.59,
2013-11-29,3174.63,
2013-12-02,3165.88,
2013-12-03,3160.94,
2013-12-04,3165.05,
2013-12-05,3161.62,
2013-12-06,3183.09,
2013-12-09,3194.3,
2013-12-10,3176.62,
2013-12-11,3182.27,
2013-12-12,3189.44,
2013-12-13,3185.67,
2013-12-17,3193.87,
2013-12-18,3191.71,
2013-12-19,3224.46,
2013-12-20,3228.17,
2013-12-23,3224.24,
2013-12-24,3225.13,
2013-12-26,3223.12,
2013-12-27,3240.63,
2013-12-30,3267.45,
2013-12-31,3263.87,
2014-01-01,,
2014-01-02,3285.39,
2014-01-03,3294.82,
2014-01-06,3281.24,
2014-01-07,3300.45,
2014-01-08,3350.31,
2014-01-09,3362.39,
2014-01-10,3384.51,
2014-01-13,3388.07,
2014-01-16,3427.05,
2014-01-17,3407.94,
2014-01-20,3425.71,
2014-01-21,3428.16,
2014-01-22,3458.26,
2014-01-23,3469.12,
2014-01-24,,
2014-01-27,3461.75,
2014-01-28,3435.87,
2014-01-29,3456.69,
2014-01-30,3444.56,
2014-01-31,3443.25,
2014-02-03,3431.22,
2014-02-05,3382.82,
2014-02-06,3384.32,
2014-02-07,3369.3,
2014-02-10,3354.43,
2014-02-11,3349.35,
2014-02-12,3336.96,
2014-02-13,3325.76,
2014-02-17,3306.24,
2014-02-18,3288.04,
2014-02-19,3281.77,
2014-02-20,3257.53,
2014-02-21,3237.82,
2014-02-24,3208.0,
2014-02-25,3180.06,
2014-02-26,3188.8,
2014-02-28,3223.66,
2014-03-03,3213.89,
2014-03-04,3221.42,
2014-03-05,3216.97,
2014-03-06,3234.05,
2014-03-07,3244.99,
2014-03-10,3252.29,
2014-03-11,3240.12,
2014-03-12,3236.29,
2014-03-13,3222.13,
2014-03-14,3207.11,
2014-03-17,3213.42,
2014-03-18,3214.64,
2014-03-19,3225.22,
2014-03-20,3231.91,
2014-03-21,3246.02,
2014-03-24,3246.91,
2014-03-25,3256.49,
2014-03-26,3261.05,
2014-03-27,3274.15,
2014-03-28,3278.67,
2014-03-31,3279.92,
2014-04-01,3299.9,
2014-04-02,3281.94,
2014-04-03,3295.5,
2014-04-04,3323.1,
2014-04-07,3321.43,
2014-04-08,3326.7,
2014-04-09,3345.96,
2014-04-10,3345.0,
2014-04-11,3346.92,
2014-04-16,3361.48,
2014-04-17,3388.02,
2014-04-21,3394.94,
2014-04-22,3397.42,
2014-04-23,3373.55,
2014-04-24,3394.56,
2014-04-25,3387.97,
2014-04-28,3394.34,
2014-04-29,3405.32,
2014-04-30,3418.19,
2014-05-02,3435.81,
2014-05-05,3441.69,
2014-05-06,3424.12,
2014-05-07,3433.95,
2014-05-08,3446.76,
2014-05-09,3457.26,
2014-05-12,3480.91,
2014-05-13,3478.99,
2014-05-16,3479.17,
2014-05-19,3472.79,
2014-05-20,3480.1,
2014-05-21,3465.84,
2014-05-22,3465.05,
2014-05-23,3459.43,
2014-05-26,3462.89,
2014-05-27,3447.25,
2014-05-28,3450.65,
2014-05-29,3486.69,
2014-05-30,3454.61,
2014-06-02,3470.19,
2014-06-03,3470.75,
2014-06-04,3472.0,
2014-06-05,3473.43,
2014-06-06,3479.17,
2014-06-09,3479.69,
2014-06-10,3484.12,
2014-06-11,3476.58,
2014-06-13,3505.03,
2014-06-16,3520.67,
2014-06-17,3521.07,
2014-06-18,3499.49,
2014-06-19,3490.67,
2014-06-20,3478.86,
2014-06-23,3474.93,
2014-06-24,3496.12,
2014-06-25,3501.55,
2014-06-26,3507.54,
2014-06-27,3520.85,
2014-06-30,3534.43,
2014-07-01,3543.56,
2014-07-02,3577.94,
2014-07-03,3608.42,
2014-07-04,3610.68,
2014-07-07,3617.89,
2014-07-08,3676.11,
2014-07-09,3706.06,
2014-07-10,3735.14,
2014-07-11,3708.16,
2014-07-14,3721.23,
2014-07-15,3750.26,
2014-07-16,3761.05,
2014-07-17,3747.47,
2014-07-18,3738.98,
2014-07-21,3768.15,
2014-07-22,3789.15,
2014-07-23,3775.14,
2014-07-24,3767.2,
2014-07-25,3764.9,
2014-07-28,3761.43,
2014-07-30,3768.18,
2014-07-31,3772.51,
2014-08-01,3759.42,
2014-08-04,3760.33,
2014-08-05,3743.03,
2014-08-06,3752.79,
2014-08-07,3790.03,
2014-08-08,3801.87,
2014-08-11,3818.54,
2014-08-12,3817.52,
2014-08-13,3820.26,
2014-08-14,3828.77,
2014-08-15,3820.98,
2014-08-18,3830.57,
2014-08-19,3848.5,
2014-08-20,3862.61,
2014-08-21,3862.91,
2014-08-22,3863.88,
2014-08-25,3855.27,
2014-08-26,3851.85,
2014-08-27,3842.83,
2014-08-28,3845.87,
2014-08-29,3872.51,
2014-09-01,3877.39,
2014-09-02,3874.5,
2014-09-03,3886.88,
2014-09-04,3902.81,
2014-09-05,3932.81,
2014-09-09,3969.49,
2014-09-10,3988.59,
2014-09-11,4013.18,
2014-09-12,4015.63,
2014-09-15,3974.42,
2014-09-16,3976.76,
2014-09-17,3976.81,
2014-09-18,3989.6,
2014-09-19,4018.98,
2014-09-22,4030.87,
2014-09-23,4030.09,
2014-09-24,4022.63,
2014-09-25,4013.02,
2014-09-26,4008.42,
2014-09-29,4019.0,
2014-09-30,4038.3,
2014-10-01,4065.11,
2014-10-02,4107.36,
2014-10-03,4160.31,
2014-10-06,,
2014-10-07,4150.64,
2014-10-09,4151.35,
2014-10-10,4110.02,
2014-10-13,4014.55,
2014-10-14,4011.75,
2014-10-15,4064.84,
2014-10-16,4056.39,
2014-10-17,4029.55,
2014-10-20,4008.16,
2014-10-21,3978.65,
2014-10-23,3991.59,
2014-10-24,4003.79,
2014-10-27,4014.22,
2014-10-28,4008.1,
2014-10-29,4029.43,
2014-10-30,4051.42,
2014-10-31,4087.38,
2014-11-03,4104.69,
2014-11-04,4086.25,
2014-11-05,4102.11,
2014-11-07,4128.3,
2014-11-10,4120.87,
2014-11-11,4120.0,
2014-11-12,4136.59,
2014-11-13,4143.86,
2014-11-14,4155.82,
2014-11-17,4170.08,
2014-11-18,4204.87,
2014-11-19,4188.81,
2014-11-20,4190.93,
2014-11-21,4127.26,
2014-11-24,4044.94,
2014-11-25,4045.72,
2014-11-26,4024.7,
2014-11-27,3977.15,
2014-11-28,3971.12,
2014-12-01,4040.67,
2014-12-02,4025.13,
2014-12-03,4066.92,
2014-12-04,4056.54,
2014-12-05,4061.56,
2014-12-08,4059.32,
2014-12-09,4063.7,
2014-12-10,4083.41,
2014-12-11,4082.95,
2014-12-12,4075.14,
2014-12-15,4069.61,
2014-12-16,4067.46,
2014-12-17,4049.61,
2014-12-18,4069.09,
2014-12-19,4062.79,
2014-12-22,4063.61,
2014-12-23,4063.17,
2014-12-24,4069.75,
2014-12-26,4084.17,
2014-12-29,4080.81,
2014-12-30,4086.6,
2014-12-31,4089.14,
2015-01-02,4110.3,
2015-01-05,,
2015-01-06,4145.4,
2015-01-07,4149.1,
2015-01-08,4186.0,
2015-01-09,4272.5,
2015-01-12,4261.6,
2015-01-13,4265.7,
2015-01-14,,
2015-01-16,4248.0,
2015-01-19,4140.1,
2015-01-20,4133.5,
2015-01-21,4103.7,
2015-01-22,4107.8,
2015-01-23,4078.9,
2015-01-26,4096.7,
2015-01-27,4130.4,
2015-01-28,4143.7,
2015-01-29,4134.7,
2015-01-30,3962.2,
2015-02-02,3825.0,
2015-02-05,3853.7,
2015-02-06,3958.9,
2015-02-09,3983.4,
2015-02-10,4071.6,
2015-02-11,4116.4,
2015-02-12,4115.8,
2015-02-13,4113.2,
2015-02-16,4078.1,
2015-02-18,4074.6,
2015-02-19,4113.3,
2015-02-20,4133.0,
2015-02-23,4127.5,
2015-02-24,4111.6,
2015-02-25,4119.2,
2015-02-26,4122.3,
2015-02-27,4115.9,
2015-03-02,4101.4,
2015-03-03,4108.3,
2015-03-04,4092.8,
2015-03-06,4097.1,
2015-03-09,4084.7,
2015-03-10,4087.7,
2015-03-11,4070.7,
2015-03-12,4068.8,
2015-03-13,4048.0,
2015-03-16,4035.4,
2015-03-17,4029.3,
2015-03-18,4013.8,
2015-03-19,4019.5,
2015-03-20,4016.9,
2015-03-23,4002.8,
2015-03-24,3977.2,
2015-03-25,3961.3,
2015-03-26,3930.8,
2015-03-27,3901.3,
2015-03-30,3832.5,
2015-03-31,3852.4,
2015-04-01,3900.7,
2015-04-02,3909.6,
2015-04-06,3893.9,
2015-04-07,3909.7,
2015-04-08,3904.3,
2015-04-09,3894.5,
2015-04-10,3888.3,
2015-04-15,3940.6,
2015-04-16,3991.1,
2015-04-17,4012.6,
2015-04-20,4020.6,
2015-04-21,4026.4,
2015-04-22,4029.6,
2015-04-23,4026.3,
2015-04-24,4023.3,
2015-04-27,4020.8,
2015-04-28,4026.3,
2015-04-29,4048.4,
2015-04-30,4053.5,
2015-05-05,4064.2,
2015-05-06,4059.0,
2015-05-07,4059.5,
2015-05-08,4058.6,
2015-05-11,4061.0,
2015-05-12,4073.6,
2015-05-13,4060.9,
2015-05-14,4043.6,
2015-05-15,4050.7,
2015-05-18,4037.3,
2015-05-19,4046.8,
2015-05-20,4073.5,
2015-05-21,4068.6,
2015-05-22,4067.1,
2015-05-25,4053.8,
2015-05-26,4037.8,
2015-05-27,4030.9,
2015-05-28,4035.0,
2015-05-29,4000.7,
2015-06-01,3986.2,
2015-06-03,3961.0,
2015-06-04,3945.5,
2015-06-05,3963.7,
2015-06-08,3924.3,
2015-06-09,3915.9,
2015-06-10,3914.4,
2015-06-11,3906.0,
2015-06-12,3914.0,
2015-06-15,3927.0,
2015-06-16,3911.1,
2015-06-17,3914.8,
2015-06-18,3924.3,
2015-06-19,3906.3,
2015-06-22,3912.7,
2015-06-23,3938.5,
2015-06-24,3927.4,
2015-06-25,3913.1,
2015-06-26,3900.6,
2015-06-29,3912.0,
2015-06-30,3908.0,
2015-07-02,3893.9,
2015-07-03,3915.0,
2015-07-06,3911.5,
2015-07-07,3891.5,
2015-07-08,3850.4,
2015-07-09,3870.7,
2015-07-10,3905.3,
2015-07-13,3916.4,
2015-07-14,3920.3,
2015-07-15,3957.7,
2015-07-16,3991.2,
2015-07-17,4013.8,
2015-07-20,4007.5,
2015-07-21,3995.0,
2015-07-22,4037.8,
2015-07-23,4041.2,
2015-07-24,4071.7,
2015-07-27,4067.7,
2015-07-28,4077.9,
2015-07-29,4105.1,
2015-07-30,4108.0,
2015-08-03,4088.7,
2015-08-04,4072.6,
2015-08-05,4083.0,
2015-08-06,4091.9,
2015-08-07,4097.2,
2015-08-10,4104.4,
2015-08-11,4154.2,
2015-08-12,4152.8,
2015-08-13,4128.2,
2015-08-14,4148.9,
2015-08-17,4164.5,
2015-08-18,4157.7,
2015-08-19,4164.3,
2015-08-20,4137.6,
2015-08-21,4140.7,
2015-08-24,4053.7,
2015-08-25,3983.0,
2015-08-26,3968.6,
2015-08-27,3991.2,
2015-08-28,4049.2,
2015-08-31,4026.3,
2015-09-01,4007.3,
2015-09-02,3979.9,
2015-09-03,3978.8,
2015-09-04,3957.8,
2015-09-07,3931.0,
2015-09-08,3914.1,
2015-09-09,3937.1,
2015-09-10,3924.7,
2015-09-11,3914.3,
2015-09-14,3919.6,
2015-09-15,3915.1,
2015-09-16,3899.6,
2015-09-17,3885.1,
2015-09-18,3885.7,
2015-09-21,3881.0,
2015-09-22,3895.7,
2015-09-23,3891.8,
2015-09-25,3887.1,
2015-09-28,3869.6,
2015-09-29,3858.6,
2015-09-30,3826.2,
2015-10-01,3836.3,
2015-10-02,3840.8,
2015-10-05,3830.2,
2015-10-06,3827.3,
2015-10-07,3821.7,
2015-10-08,3818.6,
2015-10-09,3819.8,
2015-10-12,3816.2,
2015-10-13,3811.2,
2015-10-14,3781.2,
2015-10-15,3783.1,
2015-10-16,3773.7,
2015-10-19,3781.3,
2015-10-20,3796.9,
2015-10-21,3808.8,
2015-10-22,3819.1,
2015-10-23,3821.8,
2015-10-26,3827.8,
2015-10-28,3840.0,
2015-10-29,3827.9,
2015-10-30,3803.0,
2015-11-02,3795.5,
2015-11-03,3786.7,
2015-11-04,3784.6,
2015-11-05,3794.1,
2015-11-06,3824.6,
2015-11-09,3822.0,
2015-11-11,3790.6,
2015-11-12,3783.3,
2015-11-13,3787.0,
2015-11-16,3759.3,
2015-11-17,3763.3,
2015-11-18,3764.7,
2015-11-19,3781.3,
2015-11-20,3774.1,
2015-11-23,3782.7,
2015-11-24,3735.6,
2015-11-26,3705.0,
2015-11-27,3704.0,
2015-11-30,3657.7,
2015-12-01,3651.3,
2015-12-02,3637.8,
2015-12-03,3646.1,
2015-12-04,3638.6,
2015-12-07,3632.9,
2015-12-08,3624.4,
2015-12-09,3616.0,
2015-12-10,3612.6,
2015-12-11,3607.3,
2015-12-14,3585.63,
2015-12-15,3598.7,
2015-12-16,3597.07,
2015-12-17,3610.5,
2015-12-18,3623.13,
2015-12-21,3628.3,
2015-12-22,3605.3,
2015-12-23,3603.9,
2015-12-28,3588.6,
2015-12-29,3592.1,
2015-12-30,3605.1,
2015-12-31,3625.69,
2016-01-04,3598.88,
2016-01-05,3586.25,
2016-01-06,3573.18,
2016-01-07,3546.45,
2016-01-08,3514.41,
2016-01-11,3464.04,
2016-01-12,3393.04,
2016-01-13,3405.57,
2016-01-14,3340.13,
2016-01-18,3284.36,
2016-01-19,3261.3,
2016-01-20,3241.08,
2016-01-21,3293.49,
2016-01-22,3315.36,
2016-01-25,3298.66,
2016-01-26,3278.15,
2016-01-27,3275.42,
2016-01-28,3279.77,
2016-01-29,3302.01,
2016-02-01,3322.49,
2016-02-02,3357.42,
2016-02-03,3336.04,
2016-02-05,3338.97,
2016-02-08,3347.32,
2016-02-09,3333.63,
2016-02-10,3321.59,
2016-02-11,3287.02,
2016-02-12,3264.94,
2016-02-15,3256.68,
2016-02-16,3256.31,
2016-02-17,3236.43,
2016-02-18,3240.79,
2016-02-19,3265.14,
2016-02-23,3261.73,
2016-02-24,3259.97,
2016-02-25,3252.33,
2016-02-26,3247.69,
2016-02-29,3249.46,
2016-03-01,3229.23,
2016-03-02,3210.6,
2016-03-03,3206.1,
2016-03-04,3204.5,
2016-03-08,3144.85,
2016-03-09,3092.92,
2016-03-10,3133.56,
2016-03-11,3180.92,
2016-03-14,3158.23,
2016-03-15,3142.95,
2016-03-16,3159.92,
2016-03-17,3174.05,
2016-03-18,3167.46,
2016-03-21,3180.83,
2016-03-23,3188.27,
2016-03-24,3197.3,
2016-03-28,3194.84,
2016-03-29,3181.64,
2016-03-30,3188.26,
2016-03-31,3204.44,
2016-04-01,3212.01,
2016-04-04,3214.78,
2016-04-05,3253.45,
2016-04-06,3254.7,
2016-04-07,3283.31,
2016-04-08,3311.94,
2016-04-11,3361.55,
2016-04-12,3361.55,
2016-04-15,3365.66,
2016-04-18,3363.83,
2016-04-19,3368.83,
2016-04-20,3395.71,
2016-04-22,3395.84,
2016-04-25,3369.52,
2016-04-26,3397.66,
2016-04-27,3404.98,
2016-04-28,3397.83,
2016-04-29,3435.55,
2016-05-03,3493.46,
2016-05-04,3474.03,
2016-05-05,3475.03,
2016-05-06,3471.37,
2016-05-09,3474.61,
2016-05-10,3507.46,
2016-05-11,3502.97,
2016-05-12,3506.6,
2016-05-13,3509.85,
2016-05-16,3510.06,
2016-05-17,3482.58,
2016-05-18,3483.56,
2016-05-19,3460.69,
2016-05-20,3454.64,
2016-05-24,3443.34,
2016-05-25,3446.48,
2016-05-26,3440.11,
2016-05-27,3441.26,
2016-05-30,3436.45,
2016-05-31,3425.57,
2016-06-01,3421.42,
2016-06-02,3416.68,
2016-06-03,3416.47,
2016-06-06,3414.48,
2016-06-07,3424.49,
2016-06-08,3423.12,
2016-06-09,3426.44,
2016-06-10,3423.82,
2016-06-13,3441.48,
2016-06-14,3436.06,
2016-06-15,3426.68,
2016-06-16,3385.06,
2016-06-17,3402.21,
2016-06-20,3404.34,
2016-06-21,3398.2,
2016-06-22,3379.95,
2016-06-23,3361.71,
2016-06-24,3341.65,
2016-06-27,3320.77,
2016-06-28,3318.71,
2016-06-29,3310.55,
2016-06-30,3300.2,
2016-07-01,3302.51,
2016-07-04,3290.33,
2016-07-05,3309.34,
2016-07-07,3326.23,
2016-07-08,3363.27,
2016-07-11,3374.31,
2016-07-12,3390.96,
2016-07-13,3408.0,
2016-07-14,3404.52,
2016-07-15,3416.3,
2016-07-18,3411.76,
2016-07-20,3422.19,
2016-07-21,3427.15,
2016-07-22,3428.58,
2016-07-25,3411.96,
2016-07-26,3406.75,
2016-07-27,3401.79,
2016-07-28,3414.66,
2016-07-29,3414.39,
2016-08-01,3439.4,
2016-08-02,3529.67,
2016-08-03,3534.12,
2016-08-04,3511.02,
2016-08-05,3531.36,
2016-08-08,3531.39,
2016-08-09,3546.52,
2016-08-10,3565.63,
2016-08-11,3554.64,
2016-08-12,3566.84,
2016-08-15,3601.65,
2016-08-16,3606.5,
2016-08-18,3622.22,
2016-08-19,3632.86,
2016-08-22,3637.14,
2016-08-23,3627.96,
2016-08-24,3613.8,
2016-08-25,3612.57,
2016-08-26,3584.93,
2016-08-29,3585.73,
2016-08-30,3579.59,
2016-08-31,3585.14,
2016-09-01,,
2016-09-02,,
2016-09-05,3591.95,
2016-09-06,3593.2,
2016-09-07,3583.48,
2016-09-08,3579.28,
2016-09-09,3581.38,
2016-09-13,,
2016-09-14,3582.75,
2016-09-15,3577.95,
2016-09-19,3563.0,
2016-09-20,3552.03,
2016-09-21,3565.88,
2016-09-22,3579.21,
2016-09-23,3587.35,
2016-09-26,3589.17,
2016-09-27,3588.7,
2016-09-28,3614.51,
2016-09-29,3622.93,
2016-09-30,3617.32,
2016-10-03,3652.6,
2016-10-04,3641.94,
