date,gross_reserves_usd_m,source,import_cover_months,mom_change_usd_m
2018-01-01,7959,CBSL,5.306,
2018-02-01,7927,CBSL,5.284666666666666,-32.0
2018-03-01,8021,CBSL,5.347333333333333,94.0
2018-04-01,8662,CBSL,5.774666666666667,641.0
2018-05-01,8961,CBSL,5.974,299.0
2018-06-01,8843,CBSL,5.895333333333333,-118.0
2018-07-01,8470,CBSL,5.6466666666666665,-373.0
2018-08-01,8092,CBSL,5.394666666666667,-378.0
2018-09-01,7919,CBSL,5.279333333333334,-173.0
2018-10-01,7513,CBSL,5.008666666666667,-406.0
2018-11-01,7161,CBSL,4.774,-352.0
2018-12-01,6919,CBSL,4.612666666666667,-242.0
2019-01-01,6973,CBSL,4.648666666666666,54.0
2019-02-01,7215,CBSL,4.81,242.0
2019-03-01,7468,CBSL,4.978666666666666,253.0
2019-04-01,7654,CBSL,5.102666666666667,186.0
2019-05-01,8413,CBSL,5.608666666666666,759.0
2019-06-01,8649,CBSL,5.766,236.0
2019-07-01,8580,CBSL,5.72,-69.0
2019-08-01,8081,CBSL,5.387333333333333,-499.0
2019-09-01,7695,CBSL,5.13,-386.0
2019-10-01,7661,CBSL,5.107333333333333,-34.0
2019-11-01,7583,CBSL,5.0553333333333335,-78.0
2019-12-01,7642,CBSL,5.094666666666667,59.0
2020-01-01,7510,CBSL,5.006666666666667,-132.0
2020-02-01,7288,CBSL,4.858666666666666,-222.0
2020-03-01,7232,CBSL,4.8213333333333335,-56.0
2020-04-01,7085,CBSL,4.723333333333334,-147.0
2020-05-01,6905,CBSL,4.6033333333333335,-180.0
2020-06-01,6667,CBSL,4.4446666666666665,-238.0
2020-07-01,6670,CBSL,4.446666666666666,3.0
2020-08-01,6840,CBSL,4.56,170.0
2020-09-01,6823,CBSL,4.548666666666667,-17.0
2020-10-01,6861,CBSL,4.574,38.0
2020-11-01,5670,CBSL,3.78,-1191.0
2020-12-01,5664,CBSL,3.776,-6.0
2021-01-01,5034,CBSL,3.356,-630.0
2021-02-01,4836,CBSL,3.224,-198.0
2021-03-01,4495,CBSL,2.9966666666666666,-341.0
2021-04-01,4555,CBSL,3.0366666666666666,60.0
2021-05-01,4538,CBSL,3.025333333333333,-17.0
2021-06-01,4003,CBSL,2.6686666666666667,-535.0
2021-07-01,2842,CBSL/IMF,1.8946666666666667,-1161.0
2021-08-01,2771,CBSL,1.8473333333333333,-71.0
2021-09-01,2506,CBSL,1.6706666666666667,-265.0
2021-10-01,2287,CBSL,1.5246666666666666,-219.0
2021-11-01,1603,CBSL,1.0686666666666667,-684.0
2021-12-01,1594,CBSL,1.0626666666666666,-9.0
2022-01-01,2361,CBSL,1.574,767.0
2022-02-01,2315,CBSL,1.5433333333333332,-46.0
2022-03-01,1932,CBSL,1.288,-383.0
2022-04-01,1892,CBSL/Reuters,1.2613333333333334,-40.0
2022-05-01,1915,CBSL,1.2766666666666666,23.0
2022-06-01,1856,CBSL,1.2373333333333334,-59.0
2022-07-01,1817,CBSL,1.2113333333333334,-39.0
2022-08-01,1719,CBSL,1.146,-98.0
2022-09-01,1769,CBSL,1.1793333333333333,50.0
2022-10-01,1734,CBSL,1.156,-35.0
2022-11-01,1851,CBSL,1.234,117.0
2022-12-01,1895,CBSL,1.2633333333333334,44.0
2023-01-01,2129,CBSL,1.4193333333333333,234.0
2023-02-01,2220,CBSL,1.48,91.0
2023-03-01,2692,CBSL,1.7946666666666666,472.0
2023-04-01,3132,CBSL,2.088,440.0
2023-05-01,3243,CBSL,2.162,111.0
2023-06-01,3442,CBSL,2.2946666666666666,199.0
2023-07-01,3629,CBSL,2.4193333333333333,187.0
2023-08-01,3615,CBSL,2.41,-14.0
2023-09-01,3565,CBSL,2.3766666666666665,-50.0
2023-10-01,3759,CBSL,2.506,194.0
2023-11-01,4095,CBSL,2.73,336.0
2023-12-01,4381,CBSL,2.9206666666666665,286.0
2024-01-01,4479,CBSL,2.986,98.0
2024-02-01,4616,CBSL,3.0773333333333333,137.0
2024-03-01,4968,CBSL,3.312,352.0
2024-04-01,5023,CBSL,3.3486666666666665,55.0
2024-05-01,5426,CBSL,3.6173333333333333,403.0
2024-06-01,5576,CBSL,3.7173333333333334,150.0
2024-07-01,5609,CBSL,3.739333333333333,33.0
2024-08-01,6220,CBSL,4.1466666666666665,611.0
2024-09-01,6120,CBSL,4.08,-100.0
2024-10-01,6041,CBSL,4.027333333333333,-79.0
2024-11-01,6227,CBSL,4.1513333333333335,186.0
